0.174540	0.417085	
0.860709	0.534518	
0.193209	0.207225	
0.399569	0.904193	
0.463921	0.898598	
0.599701	0.814102	
0.585168	0.431944	
0.994118	0.938552	
0.057395	0.524262	
0.160796	0.625911	
0.286894	0.345927	
0.460953	0.564849	
0.701013	0.680992	
0.364042	0.565799	
0.035936	0.713827	
0.603884	0.045334	
0.930426	0.448875	
0.949954	0.058360	
0.293350	0.600036	
0.929696	0.207839	
0.884523	0.165929	
0.669667	0.034929	
0.718475	0.953846	
0.646031	0.877042	
0.725471	0.839072	
0.572275	0.829731	
0.208483	0.609692	
0.298916	0.834370	
0.094786	0.786341	
0.603895	0.066389	
0.139356	0.997127	
0.863789	0.999166	
0.060305	0.271738	
0.669520	0.797399	
0.374953	0.424186	
0.628964	0.594181	
0.037935	0.473160	
0.503140	0.071217	
0.899010	0.277862	
0.385812	0.509743	
0.611744	0.780452	
0.210599	0.911312	
0.621162	0.310407	
0.045238	0.110630	
0.730855	0.364738	
0.987913	0.968616	
0.302688	0.382774	
0.910330	0.442028	
0.029608	0.790412	
0.832752	0.136463	
0.925089	0.242925	
0.121307	0.037955	
